20 188
0 1 29241
0 2 28958
0 3 32339
0 5 22707
0 6 13849
0 11 7799
0 13 27254
0 16 3414
1 0 27454
1 3 6905
1 5 14924
1 6 17488
1 8 22279
1 9 30427
1 12 12550
1 13 18006
1 16 22953
1 19 17228
2 0 9844
2 1 23966
2 6 18918
2 14 21880
2 15 25609
2 16 15513
3 0 5327
3 4 12932
3 7 12256
3 12 31804
3 13 14149
3 16 30220
3 17 22635
4 0 23416
4 2 9574
4 3 13429
4 5 2177
4 6 23021
4 11 29985
4 12 16104
4 15 24798
4 16 4995
4 17 1433
4 18 15539
5 0 14278
5 3 19266
5 4 26250
5 9 31955
5 11 20071
5 14 13413
5 15 16508
5 16 16897
5 19 19158
6 0 26321
6 1 3613
6 10 9170
6 13 30254
6 14 565
6 15 20208
7 1 32447
7 2 22526
7 3 25241
7 4 21433
7 6 14197
7 10 16490
7 11 30263
7 13 31254
7 15 10448
7 16 3367
7 17 29107
8 1 268
8 2 12777
8 4 24815
8 9 18631
8 11 19995
8 15 21702
8 19 25383
9 2 11115
9 3 20069
9 5 23325
9 6 21898
9 8 1964
9 10 18652
9 12 20755
9 13 28656
9 15 1019
9 16 24482
10 0 2198
10 4 11486
10 5 16553
10 6 1816
10 7 16797
10 8 31039
10 17 1073
11 3 6468
11 5 27213
11 6 16272
11 7 24977
11 9 22487
11 10 13371
11 12 27834
11 14 31715
11 15 30577
11 17 8942
11 19 9672
12 3 1147
12 5 12387
12 6 13737
12 10 11696
12 11 860
12 13 8946
12 14 14642
12 15 24449
12 17 31541
12 19 12268
13 0 18629
13 1 23365
13 3 2382
13 4 10544
13 5 20604
13 9 19327
13 10 6962
13 11 21628
13 12 30992
13 17 17410
13 18 30642
14 2 11136
14 5 28933
14 6 6217
14 7 23844
14 8 23082
14 9 29133
14 10 31780
14 12 7403
14 13 18807
14 18 13208
14 19 14119
15 0 1210
15 1 18021
15 2 28309
15 4 17758
15 5 13047
15 6 28494
15 7 8300
15 8 22627
15 9 2160
15 12 20646
15 13 21204
15 14 8140
15 16 17166
15 17 26278
15 19 31895
16 1 24550
16 6 16366
16 7 19204
16 8 15963
16 9 4250
16 13 17520
16 14 24574
16 15 31896
16 19 4159
17 0 20944
17 2 18583
17 3 6240
17 4 16835
17 12 32398
17 13 16606
17 14 11669
17 16 17901
17 19 14037
18 1 31337
18 2 29031
18 5 23041
18 6 11105
18 7 9638
18 9 17660
18 11 22315
18 16 27601
18 19 2925
19 0 25550
19 4 11749
19 5 4665
19 6 9870
19 7 31270
19 9 27594
19 10 32192
19 11 11107
19 12 7654
19 15 28955
19 18 32656
